DateTime,Reading
2012-05-23 01:14:01,14.948
2012-05-23 01:16:01,14.948
2012-05-23 01:18:01,14.948
2012-05-23 01:20:01,14.948
2012-05-23 01:22:01,14.885
2012-05-23 01:24:01,14.885
2012-05-23 01:26:01,14.885
2012-05-23 01:28:01,14.885
2012-05-23 01:30:01,14.885
2012-05-23 01:32:01,14.885
2012-05-23 01:34:01,14.885
2012-05-23 01:36:01,14.822
2012-05-23 01:38:01,14.822
2012-05-23 01:40:01,14.822
2012-05-23 01:42:01,14.822
2012-05-23 01:44:01,14.822
2012-05-23 01:46:01,14.822
2012-05-23 01:48:01,14.822
2012-05-23 01:50:01,14.822
2012-05-23 01:52:01,14.822
2012-05-23 01:54:01,14.822
2012-05-23 01:56:01,14.822
2012-05-23 01:58:01,14.76
2012-05-23 02:00:01,14.76
2012-05-23 02:02:01,14.76
2012-05-23 02:04:01,14.76
2012-05-23 02:06:01,14.76
2012-05-23 02:08:01,14.76
2012-05-23 02:10:01,14.76
2012-05-23 02:12:01,14.76
2012-05-23 02:14:01,14.697
2012-05-23 02:16:01,14.697
2012-05-23 02:18:01,14.697
2012-05-23 02:20:01,14.697
2012-05-23 02:22:01,14.697
2012-05-23 02:24:01,14.697
2012-05-23 02:26:01,14.697
2012-05-23 02:28:01,14.634
2012-05-23 02:30:01,14.634
2012-05-23 02:32:01,14.634
2012-05-23 02:34:01,14.634
2012-05-23 02:36:01,14.634
2012-05-23 02:38:01,14.572
2012-05-23 02:40:01,14.572
2012-05-23 02:42:01,14.572
2012-05-23 02:44:01,14.572
2012-05-23 02:46:01,14.509
2012-05-23 02:48:01,14.509
2012-05-23 02:50:01,14.509
2012-05-23 02:52:01,14.509
2012-05-23 02:54:01,14.509
2012-05-23 02:56:01,14.509
2012-05-23 02:58:01,14.509
2012-05-23 03:00:01,14.509
2012-05-23 03:02:01,14.509
2012-05-23 03:04:01,14.446
2012-05-23 03:06:01,14.446
2012-05-23 03:08:01,14.446
2012-05-23 03:10:01,14.446
2012-05-23 03:12:01,14.446
2012-05-23 03:14:01,14.446
2012-05-23 03:16:01,14.446
2012-05-23 03:18:01,14.446
2012-05-23 03:20:01,14.383
2012-05-23 03:22:01,14.446
2012-05-23 03:24:01,14.383
2012-05-23 03:26:01,14.383
2012-05-23 03:28:01,14.383
2012-05-23 03:30:01,14.383
2012-05-23 03:32:01,14.383
2012-05-23 03:34:01,14.383
2012-05-23 03:36:01,14.383
2012-05-23 03:38:01,14.383
2012-05-23 03:40:01,14.383
2012-05-23 03:42:01,14.321
2012-05-23 03:44:01,14.321
2012-05-23 03:46:01,14.321
2012-05-23 03:48:01,14.321
2012-05-23 03:50:01,14.321
2012-05-23 03:52:01,14.321
2012-05-23 03:54:01,14.321
2012-05-23 03:56:01,14.258
2012-05-23 03:58:01,14.258
2012-05-23 04:00:01,14.258
2012-05-23 04:02:01,14.258
2012-05-23 04:04:01,14.258
2012-05-23 04:06:01,14.258
2012-05-23 04:08:01,14.195
2012-05-23 04:10:01,14.195
2012-05-23 04:12:01,14.195
2012-05-23 04:14:01,14.195
2012-05-23 04:16:01,14.133
2012-05-23 04:18:01,14.133
2012-05-23 04:20:01,14.133
2012-05-23 04:22:01,14.07
2012-05-23 04:24:01,14.07
2012-05-23 04:26:01,14.07
2012-05-23 04:28:01,14.007
2012-05-23 04:30:01,14.007
2012-05-23 04:32:01,14.007
2012-05-23 04:34:01,13.944
2012-05-23 04:36:01,13.944
2012-05-23 04:38:01,13.944
2012-05-23 04:40:01,13.882
2012-05-23 04:42:01,13.882
2012-05-23 04:44:01,13.882
2012-05-23 04:46:01,13.819
2012-05-23 04:48:01,13.819
2012-05-23 04:50:01,13.819
2012-05-23 04:52:01,13.756
2012-05-23 04:54:01,13.756
2012-05-23 04:56:01,13.756
2012-05-23 04:58:01,13.756
2012-05-23 05:00:01,13.694
2012-05-23 05:02:01,13.694
2012-05-23 05:04:01,13.694
2012-05-23 05:06:01,13.694
2012-05-23 05:08:01,13.631
2012-05-23 05:10:01,13.631
2012-05-23 05:12:01,13.819
2012-05-23 05:14:01,14.509
2012-05-23 05:16:01,15.638
2012-05-23 05:18:01,17.392
2012-05-23 05:20:01,19.084
2012-05-23 05:22:01,19.334
2012-05-23 05:24:01,19.522
2012-05-23 05:26:01,19.71
2012-05-23 05:28:01,20.148
2012-05-23 05:30:01,21.024
2012-05-23 05:32:01,22.714
2012-05-23 05:34:01,23.777
2012-05-23 05:36:01,24.527
2012-05-23 05:38:01,25.84
2012-05-23 05:40:01,26.215
2012-05-23 05:42:01,27.214
2012-05-23 05:44:01,27.589
2012-05-23 05:46:01,28.338
2012-05-23 05:48:01,30.024
2012-05-23 05:50:01,30.586
2012-05-23 05:52:01,30.648
2012-05-23 05:54:01,31.771
2012-05-23 05:56:01,33.018
2012-05-23 05:58:01,33.766
2012-05-23 06:00:01,34.14
2012-05-23 06:02:01,33.704
2012-05-23 06:04:01,32.457
2012-05-23 06:06:01,31.708
2012-05-23 06:08:01,31.459
2012-05-23 06:10:01,31.646
2012-05-23 06:12:01,31.896
2012-05-23 06:14:01,31.896
2012-05-23 06:16:01,32.02
2012-05-23 06:18:01,32.083
2012-05-23 06:20:01,31.771
2012-05-23 06:22:01,31.771
2012-05-23 06:24:01,31.708
2012-05-23 06:26:01,31.521
2012-05-23 06:28:01,31.459
2012-05-23 06:30:01,31.521
2012-05-23 06:32:01,31.521
2012-05-23 06:34:01,31.459
2012-05-23 06:36:01,31.459
2012-05-23 06:38:01,31.459
2012-05-23 06:40:01,31.022
2012-05-23 06:42:01,29.899
2012-05-23 06:44:01,29.774
2012-05-23 06:46:01,30.024
2012-05-23 06:48:01,29.837
2012-05-23 06:50:01,29.837
2012-05-23 06:52:01,29.837
2012-05-23 06:54:01,30.461
2012-05-23 06:56:01,30.96
2012-05-23 06:58:01,31.334
2012-05-23 07:00:01,31.584
2012-05-23 07:02:01,31.771
2012-05-23 07:04:01,31.584
2012-05-23 07:06:01,31.022
2012-05-23 07:08:01,30.898
2012-05-23 07:10:01,31.022
2012-05-23 07:12:01,31.022
2012-05-23 07:14:01,31.085
2012-05-23 07:16:01,31.397
2012-05-23 07:18:01,31.459
2012-05-23 07:20:01,31.334
2012-05-23 07:22:01,31.272
